fuente,nombre_proyecto,campo_sectorial,COD_DANE,anio_inicio,clase,motivo
renare,"Proyecto de mitigacion en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 1.000.000.000', 'costo_total_1': '$ 1.000.000.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,"Proyecto de mitigacion en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en los municipios de Sucre y el Penon Santander, Colombia","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 351.460.000', 'costo_total_1': '$ 1.500.000.00",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Proyecto de mitigacion forestal Bonanza Verde,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 790.625.000', 'costo_total_1': '$ 790.625.000'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,"Restauracion de areas degradadas y reforestacion en Caceres y Cravo Norte, Colombia","PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': '$ 1.210.000.000', 'costo_total_1': '$ 1.210.000.",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,"Restauracion de areas degradadas y reforestacion en Caceres y Cravo Norte, Colombia",PDBC - Proyectos de Desarrollo Bajo en Carbono | ,5120;81220,,AFOLU_NO_REDD,nombre~reforest
renare,SAHBIO CARBONO,"NAMA - Acciones Nacionalmente Apropiadas de Mitigacion | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 709, 'contribucion_propia_1': '$ 46.800.000.000', 'costo_total_1': '$ 4",,,AFOLU_NO_REDD,sector~restauraci
renare,SOMBRILLA BAJO CAUCA Y COSTA NORTE CO2CERO-FCG,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 259.517.383', 'costo_total_1': '$ 259.517.383'",,,AFOLU_NO_REDD,sector~plantaci[oó]n
renare,Sembrando Futuro 2.0,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'fuente_relacionada_1': '{""value"":""Remocion de CO2 por incremento de biomasa forestal – Proyecto Sembrando Futuro 2.0""}', 'tipo_actividad_1': 747, 'd",,,AFOLU_NO_REDD,sector~restauraci
renare,Sustainable Agroforestry Cacao Meta,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '$ 4.147', 'tipo_actividad_1': 712, 'contribucion_propia_1': '$ 289.750.957', 'costo_total_1': '$ 289.7",,,AFOLU_NO_REDD,sector~agroforest
renare,Sustainable Agroforestry Cacao Meta,PDBC - Proyectos de Desarrollo Bajo en Carbono | ,50124,,AFOLU_NO_REDD,nombre~agroforest
renare,prueba_py_pdbc,"PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '$ 4.000', 'tipo_actividad_1': 746, 'contribucion_propia_1': '$ 1.111', 'costo_total_1': '$ 2.222', 'se",,,AFOLU_NO_REDD,sector~plantaci[oó]n
verra,ACABA REDD+ Project,Agriculture Forestry and Other Land Use | ,27025,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA",Agriculture Forestry and Other Land Use | ,99001,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,ASATIQ Vaupes Maloca REDD+ Project,Agriculture Forestry and Other Land Use | ,97001,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,ASATRIZY Vaupes Maloca REDD+ Project,Agriculture Forestry and Other Land Use | ,97001,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,Acapa -­ Bajo Mira Y Frontera REDD+ Project,Agriculture Forestry and Other Land Use | ,52835,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,BLUE CARBON PROJECT GULF OF MORROSQUILLO “VIDA MANGLAR”,Agriculture Forestry and Other Land Use | ,23672,2015.0,AFOLU_NO_REDD,sector~agricultur
verra,Bajo Atrato REDD+ Project,Agriculture Forestry and Other Land Use | ,27615,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,Bajo Calima y Bahia Malaga (BCBM) REDD+ Project,Agriculture Forestry and Other Land Use | ,76109,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,Bella Bosque Vichada Afforestation Project,Agriculture Forestry and Other Land Use | ,99524,2024.0,AFOLU_NO_REDD,sector~agricultur
verra,Boomitra grassland Restoration in Colombia,Agriculture Forestry and Other Land Use | ,20295,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,CARBONO VIVO- A REGENERATIVE LIVESTOCK CARBON PROJECT WITH A PARTICIPATORY APPROACH IN COLOMBIA,Agriculture Forestry and Other Land Use | ,50573,2020.0,AFOLU_NO_REDD,sector~agricultur
verra,CHONTA COROZO REDD+,Agriculture Forestry and Other Land Use | ,19318,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,CO2ROZO,Agriculture Forestry and Other Land Use | ,08001,2024.0,AFOLU_NO_REDD,sector~agricultur
verra,"COCOMACIA COMMUNITY REDD+ PROGRAM, CHOCO/ANTIOQUIA COLOMBIA",Agriculture Forestry and Other Land Use | ,27001,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,CONDOTO REDD+,Agriculture Forestry and Other Land Use | ,27205,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,"CONSEJOS COMUNITARIOS DEL PACIFICO VALLE DEL CAUCA (CCPVC) PROGRAMA REDD+ VALLE DEL CAUCA, COLOMBIA",Agriculture Forestry and Other Land Use | ,76109,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,"CONSERVATION PROJECT REDD+ SUR DEL META BOSQUES DE PAZ, SUSTENTO DE VIDA",Agriculture Forestry and Other Land Use | ,50590,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,CRIMA PREDIO PUTUMAYO Y ANDOQUE DE ADUCHE REDD+ PROJECT,Agriculture Forestry and Other Land Use | ,18756,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,Cajambre REDD+ Project,Agriculture Forestry and Other Land Use | ,76109,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,Carbon In Flavor and Arome Forests (C-BOSAR),Agriculture Forestry and Other Land Use | ,20570,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,Carmen del Darien (CDD) REDD+ Project,Agriculture Forestry and Other Land Use | ,27150,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,Concosta REDD+ Project,Agriculture Forestry and Other Land Use | ,27077,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,Conservacion de los Ecosistemas y el Almacen de Carbono Region de Transicion Guayano Amazonica 'Flor de Inirida',Agriculture Forestry and Other Land Use | ,94001,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,Cumare carbon project,Agriculture Forestry and Other Land Use | ,50689,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,Finca la Paz II,Agriculture Forestry and Other Land Use | ,99001,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,"Forestry Project for the Basin of the Chinchina River, an Environmental and Productive Alternative for the City and the Region",Agriculture Forestry and Other Land Use | ,73043,2002.0,AFOLU_NO_REDD,sector~agricultur
verra,Forestry Project “More Forests for Medellin”,Agriculture Forestry and Other Land Use | ,05001,,AFOLU_NO_REDD,sector~agricultur
verra,Green and Carbon Capture project,Agriculture Forestry and Other Land Use | ,47551,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Agriculture Forestry and Other Land Use | ,68464,2015.0,AFOLU_NO_REDD,sector~agricultur
verra,Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada,Agriculture Forestry and Other Land Use | ,99001,2011.0,AFOLU_NO_REDD,sector~agricultur
verra,Grouped Project for reducing emissions from deforestation and forest degradation-REDD-in the Regional Natural Park:Biological Corridor PNN Purace-PNN Cueva de los Guacharos,Agriculture Forestry and Other Land Use | ,41668,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia",Agriculture Forestry and Other Land Use | ,68190,2015.0,AFOLU_NO_REDD,sector~agricultur
verra,Kuvay Macaro Vidi REDD+ Caruru -KUMAVI REDD+,Agriculture Forestry and Other Land Use | ,97161,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,"MUSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",Agriculture Forestry and Other Land Use | ,47189,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,Mutata REDD+ Project,Agriculture Forestry and Other Land Use | ,05480,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,NATURAL SILVOPASTORAL SYSTEMS IN THE COLOMBIAN ORINOQUIA REGION,Agriculture Forestry and Other Land Use | ,99524,2021.0,AFOLU_NO_REDD,sector~agricultur
verra,NAYA REDD+,Agriculture Forestry and Other Land Use | ,19418,2015.0,AFOLU_NO_REDD,sector~agricultur
verra,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",Agriculture Forestry and Other Land Use | ,05579,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,Origen Atrato-Baudo REDD+ Project,Agriculture Forestry and Other Land Use | ,27600,2019.0,AFOLU_NO_REDD,sector~agricultur
verra,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,Agriculture Forestry and Other Land Use | ,15236,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Agriculture Forestry and Other Land Use | ,97511,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCO, COLOMBIA",Agriculture Forestry and Other Land Use | ,27361,2024.0,AFOLU_NO_REDD,sector~agricultur
verra,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Agriculture Forestry and Other Land Use | ,97511,2020.0,AFOLU_NO_REDD,sector~agricultur
verra,Protection of mangroves and community developmental activities in the biodiversity hotspot of Colombia,Agriculture Forestry and Other Land Use | ,27800,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,Proyecto REDD++ PANI,Agriculture Forestry and Other Land Use | ,91669,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD + in the Forests of the Otun River Basin,Agriculture Forestry and Other Land Use | ,66682,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD PROJECT OF THE INDIGENOUS PEOPLES OF VAUPES YUTUCU AND OTHERS,Agriculture Forestry and Other Land Use | ,97001,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ CONSERVATION OF ETHNO SUSTAINABLE AFRO-COLOMBIAN COMMUNITY IN THE TROPICAL RAIN FOREST OF COLOMBIA,Agriculture Forestry and Other Land Use | ,27006,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Esteros y Manglares,Agriculture Forestry and Other Land Use | ,52490,2021.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Project Magnolios de Yarumal,Agriculture Forestry and Other Land Use | ,05134,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Project Pueblos indigenas resguardando la selva,Agriculture Forestry and Other Land Use | ,91405,2016.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Agriculture Forestry and Other Land Use | ,99773,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Project for the Conservation of Lowland Forest in the Magdalena Medio Region of Colombia,Agriculture Forestry and Other Land Use | ,05893,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,Agriculture Forestry and Other Land Use | ,18150,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,REDD+ Yaguara Llanos del Yari,Agriculture Forestry and Other Land Use | ,95015,,AFOLU_NO_REDD,sector~agricultur
verra,REDD++ Manglares del Bajo Baudo,Agriculture Forestry and Other Land Use | ,27077,2022.0,AFOLU_NO_REDD,sector~agricultur
verra,"REFORESTATION OF GRAZING LANDS HACIENDA EL MANANTIAL IN PUERTO LOPEZ, COLOMBIA",Agriculture Forestry and Other Land Use | ,50573,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,Agriculture Forestry and Other Land Use | ,68190,2023.0,AFOLU_NO_REDD,sector~agricultur
verra,Recovery of degraded areas with agroforestry systems in Colombia,Agriculture Forestry and Other Land Use | ,05837,2012.0,AFOLU_NO_REDD,sector~agricultur
verra,Reforestation with Rubber on degraded lands of Colombia,Agriculture Forestry and Other Land Use | ,99624,2011.0,AFOLU_NO_REDD,sector~agricultur
verra,Regenerating Colombian Coffee Ecosystems,Agriculture Forestry and Other Land Use | ,05670,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,"Restoration of degraded areas and reforestation in Caceres and Cravo Norte, Colombia",Agriculture Forestry and Other Land Use | ,05120,2002.0,AFOLU_NO_REDD,sector~agricultur
verra,Rio Pepe y ACABA REDD+ Project,Agriculture Forestry and Other Land Use | ,27430,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,Riscales REDD+ Project,Agriculture Forestry and Other Land Use | ,27495,2014.0,AFOLU_NO_REDD,sector~agricultur
verra,SIVIRU-USARAGA-PIZARRO-PILIZA (SUPP) REDD+ Project,Agriculture Forestry and Other Land Use | ,27077,2013.0,AFOLU_NO_REDD,sector~agricultur
verra,Saving Colombia's Cloud Forest,Agriculture Forestry and Other Land Use | ,05034,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,Sembrando Futuro 2.0,Agriculture Forestry and Other Land Use | ,05679,2023.0,AFOLU_NO_REDD,sector~agricultur
verra,Sembrando Futuro Restoration Project,Agriculture Forestry and Other Land Use | ,05364,2021.0,AFOLU_NO_REDD,sector~agricultur
verra,"Sustainable Agroforestry Cacao Meta, Colombia",Agriculture Forestry and Other Land Use | ,50124,2017.0,AFOLU_NO_REDD,sector~agricultur
verra,THE FOREST CARBON PROJECT AGROREFORESTADORA RANCHO VICTORIA S. A,Agriculture Forestry and Other Land Use | ,50573,2018.0,AFOLU_NO_REDD,sector~agricultur
verra,The Choco-Darien Conservation Corridor REDD Project,Agriculture Forestry and Other Land Use | ,27006,2010.0,AFOLU_NO_REDD,sector~agricultur
verra,"Yagual - Carbon Sequestration Grouped Project for the Restoration, Conservation and Sustainable Production in the Guerrero, Sumapaz and Rabanal Paramo Systems",Agriculture Forestry and Other Land Use | ,25793,2018.0,AFOLU_NO_REDD,sector~agricultur
cercarbono,APROVECHAMIENTO Y RECUPERACION DE GAS MEDIANTE LA INSTALACION DE UNA PLANTA PARA LA GENERACION DE ENERGIA ELECTRICA - TERMOMECHERO,"Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector | Fugitive emissions from fuels (solids, oil and ga",,2018.0,NO_AFOLU,sector~hydro
cercarbono,Alto Tulua Minor Hydroelectric Power Plant,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation. | ",,2012.0,NO_AFOLU,sector~renewable\s*energ
cercarbono,Amaime Minor Hydroelectric Power Plant,"CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 3.1, PROTOCOL CVCC 4.5 | Avoidance",68162;76248,2010.0,NO_AFOLU,nombre~hydro
cercarbono,Bajo Tulua Minor Hydroelectric Power Plant,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation. | ",70717;76670,2011.0,NO_AFOLU,sector~renewable\s*energ
cercarbono,Bosques Solares de los Llanos 1,ACM0002: Grid-connected electricity generation from renewable sources / ACM0006: Electricity and heat generation from biomass | Energy industries | PROTOCOL CVCC 3.1 | Avoidance,,,NO_AFOLU,nombre~solar
cercarbono,CELSIA EOLICO AGRUPADO 2022,"CDM - ACM0002: Grid-connected electricity generation from renewable sources, CDM - AMS-I.D.: Grid connected renewable electricity generation | Energy industries | PROTOCOL CVCC 3.1 | Avoidance",,,NO_AFOLU,nombre~e[oó]lic
cercarbono,Cartagena Landfill Gas Capture and Usage Project,"CDM - ACM0001: Flaring or use of landfill gas, Methodology for executing projects that capture, destroy, or use the biogas produced in sanitary landfills | Waste handling and disposal | PROTOCOL CVCC ",,,NO_AFOLU,sector~biog[aá]s
cercarbono,Celsia Solar Agrupado Colombia 2021,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,,,NO_AFOLU,nombre~solar
cercarbono,Central Hidroelectrica de Santa Ana,CDM - AMS-I.D.: Grid connected renewable electricity generation | Energy industries | PROTOCOL CVCC 3.1 | Avoidance,47707,,NO_AFOLU,nombre~hidroel
cercarbono,Certificacion de Reduccion de Emisiones de GEI de Aceites Manuelita S.A.,"AMS-I.C.: Thermal energy production with or without electricity, CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-III.F: Avoidance of methane emissions through composting | Combined (Se",,2017.0,NO_AFOLU,sector~^AMS-I
cercarbono,Ciclo Combinado Termoflores IV,CDM - ACM0007: Conversion from single cycle to combined cycle power generation | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,08001,2017.0,NO_AFOLU,sector~combined\s*cycle
cercarbono,Cucuana Hydroelectric Power Plant,"CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1, PROTOCOL CVCC 3.1 | Avoidance",70708;73622,,NO_AFOLU,nombre~hydro
cercarbono,Dona Juana Landfill Gas to Energy Project,"CDM - ACM0001: Flaring or use of landfill gas, Methodology for executing projects that capture, destroy, or use the biogas produced in sanitary landfills, M/WM-RE_ED01: Methodology for the implementat",,2009.0,NO_AFOLU,sector~biog[aá]s
cercarbono,Eficiencia energetica por Control Operacional en la Refineria de Cartagena,CDM - AMS-II.D: Energy efficiency and fuel switching measures for industrial facilities | Manufacturing industry | PROTOCOL CVCC 3.1 | Avoidance,,,NO_AFOLU,sector~fuel\s*switch
cercarbono,Generacion de Energia y Reduccion de GEI-IACSA,"CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid, CDM - AMS-III.H.: Methane recovery in wastewater treatment | Energy industries; Waste handling and disposal | PROTOCOL C",,2025.0,NO_AFOLU,sector~water\s*treatment
cercarbono,Granja Solar de Inirida,CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,94001,,NO_AFOLU,nombre~solar
cercarbono,Guajira I Wind Farm,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.3 | Avoidance,,2022.0,NO_AFOLU,nombre~wind\s*(power|farm|energy)
cercarbono,PARQUE EOLICO WESP 01,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.1 | Avoidance,,2023.0,NO_AFOLU,nombre~e[oó]lic
cercarbono,PCH CANTAYUS,"CDM - AMS-I.D.: Grid connected renewable electricity generation, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid | Energy industries | PROTOCOL CVCC 4.2 | Avoidance",05190;47707,,NO_AFOLU,nombre~\bPCH\b
cercarbono,PCH La Naveta,CDM - AMS-I.D.: Grid connected renewable electricity generation | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,,2016.0,NO_AFOLU,nombre~\bPCH\b
cercarbono,PCH NARE,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.4 | Avoidance,05021;05690,2027.0,NO_AFOLU,nombre~\bPCH\b
cercarbono,PEQUENA CENTRAL HIDROELECTRICA SAN ANDRES DE CUERQUIA,"CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.3, PROTOCOL CVCC 4.4 | Avoidance",05647;05887;68669;88001,2013.0,NO_AFOLU,nombre~hidroel
cercarbono,PMCC AGROINCE,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid | Energy industries; Waste handling and disposal | PROTOCOL C",,,NO_AFOLU,sector~water\s*treatment
cercarbono,PRR-GEI ENTREPALMAS S.A.S,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-I.C.: Thermal energy production with or without electricity, AMS-III.F: Avoidance of methane emissions through composting | Energy indus",,2017.0,NO_AFOLU,sector~water\s*treatment
cercarbono,Planta de Tratamiento de Aguas Residuales - PTAR Aguas Claras,ACM0014: Treatment of wastewater | Waste handling and disposal | PROTOCOL CVCC 4.4 | Avoidance,05001,2020.0,NO_AFOLU,nombre~aguas\s*residuales
cercarbono,Primer Proyecto Agrupado de Helios S.A.S E.S.P para la energizacion de hogares en Zonas No Interconectadas en Colombia,AMS-I.L.: Electrification of rural communities using renewable energy | Energy industries | PROTOCOL CVCC 4.2 | Avoidance,,,NO_AFOLU,sector~^AMS-I
cercarbono,Primera sombrilla de generacion solar fotovoltaica de Ecopetrol,CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,,,NO_AFOLU,nombre~solar
cercarbono,Programa de aprovechamiento de gas asociado de Ecopetrol,"Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector | Fugitive emissions from fuels (solids, oil and ga",,,NO_AFOLU,sector~hydro
cercarbono,Proyecto Agrupado Bio D S.A,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid, AMS-I.C.: Thermal energy production with or without electric",,,NO_AFOLU,sector~water\s*treatment
cercarbono,Proyecto Hidroelectrico Alejandria,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,05021,2016.0,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Hidroelectrico Dario Valencia Samper,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,23855;25245;25386,2015.0,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Hidroelectrico El Quimbo,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,05091;41013;41026;41298;41306;41518;41797;68211,,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Hidroelectrico El Salto II,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,05483;17665;25386;25483;25645;52480;73675,,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Hidroelectrico Guavio,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,,,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Hidroelectrico Guavio Menor,CDM - AMS-I.D.: Grid connected renewable electricity generation | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,15236;25293;25297,2016.0,NO_AFOLU,nombre~hidroel
cercarbono,"Proyecto Hidroelectrico Tequendama 1, 2, 3 y 4",CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V2.1 | Avoidance,05483;17665;25386;25483;25645;52480;73675,,NO_AFOLU,nombre~hidroel
cercarbono,Proyecto Palmas del Cesar S.A,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, AMS-III.F: Avoidance of methane emissions through composting, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid",,2023.0,NO_AFOLU,sector~water\s*treatment
cercarbono,Proyecto Solar Fotovoltaico Agrupado URRA S.A. E.S.P.,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy | Energy industries | PROTOCOL CVCC 3.1 | Avoidance,,,NO_AFOLU,sector~renewable\s*energ
cercarbono,Proyecto Solar Fotovoltaico Greenyellow,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy | Energy industries | PROTOCOL CVCC 4.1 | Avoidance,,2024.0,NO_AFOLU,sector~renewable\s*energ
cercarbono,Proyecto agrupado de PTGs - Parex,"Methodological guide for the certification of emissions reduced by the implementation of operational improvement projects in the hydrocarbons sector | Fugitive emissions from fuels (solids, oil and ga",,,NO_AFOLU,sector~hydro
cercarbono,Proyecto de Generacion de Energia Solar Fotovoltaica El Paso,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy | Energy industries | PROTOCOL CVCC 4.1 | Avoidance,20250,2018.0,NO_AFOLU,sector~renewable\s*energ
cercarbono,Proyecto de Generacion de Energia Solar Fotovoltaica Guayepo,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation. | Energy industries | PROTOCOL CVCC 4.4 | Does not apply,,,NO_AFOLU,sector~renewable\s*energ
cercarbono,Proyecto de Generacion de Energia Solar Fotovoltaica La Loma,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation. | Energy industries | PROTOCOL CVCC 4.4 | Does not apply,20250,2023.0,NO_AFOLU,sector~renewable\s*energ
cercarbono,Proyecto de reduccion de GEI - GREMCA,"CDM - AMS-III.H.: Methane recovery in wastewater treatment, CDM - AMS-I.F.: Renewable electricity generation for captive use and mini-grid | Energy industries; Waste handling and disposal | PROTOCOL C",,,NO_AFOLU,sector~water\s*treatment
cercarbono,Proyecto hidroelectrico Porce III,"CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC V1.1, PROTOCOL CVCC 3.1 | Avoidance",05001;05031;05310,,NO_AFOLU,nombre~hidroel
cercarbono,Proyectos Fotovoltaicos Guamo y Numbana,CCB - M/E-ER01: Methodology for the realization of GHG emissions reduction projects by the use of renewable energy | Energy industries | PROTOCOL CVCC 4.3 | Avoidance,,,NO_AFOLU,sector~renewable\s*energ
cercarbono,Rio Amoya Run-of-River Hydro Project,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.1 | Avoidance,73168,2008.0,NO_AFOLU,nombre~hydro
cercarbono,Sogamoso Hydroelectric Project,CDM - ACM0002: Grid-connected electricity generation from renewable sources | Energy industries | PROTOCOL CVCC 4.3 | Avoidance,15759,2023.0,NO_AFOLU,nombre~hydro
cercarbono,Soluciones Energeticas Promigas,M/EE-EG001 Implementation of GHG Emission Reduction Projects Through Renewable Energy Use for Electric Power Generation. | Energy industries | PROTOCOL CVCC 4.4 | Does not apply,,2020.0,NO_AFOLU,sector~renewable\s*energ
