fuente,nombre_proyecto,campos_sectoriales,COD_DANE,anio_inicio,clase,motivo
verra,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,Agriculture Forestry and Other Land Use | ,18150,2018.0,REDD_PLUS,nombre~\bREDD\b
verra,REDD+ Yaguara Llanos del Yari,Agriculture Forestry and Other Land Use | ,95015,,REDD_PLUS,nombre~\bREDD\b
verra,REDD++ Manglares del Bajo Baudo,Agriculture Forestry and Other Land Use | ,27077,2022.0,REDD_PLUS,nombre~\bREDD\b
verra,Rio Pepe y ACABA REDD+ Project,Agriculture Forestry and Other Land Use | ,27430,2014.0,REDD_PLUS,nombre~\bREDD\b
verra,Riscales REDD+ Project,Agriculture Forestry and Other Land Use | ,27495,2014.0,REDD_PLUS,nombre~\bREDD\b
verra,SIVIRU-USARAGA-PIZARRO-PILIZA (SUPP) REDD+ Project,Agriculture Forestry and Other Land Use | ,27077,2013.0,REDD_PLUS,nombre~\bREDD\b
verra,The Choco-Darien Conservation Corridor REDD Project,Agriculture Forestry and Other Land Use | ,27006,2010.0,REDD_PLUS,nombre~\bREDD\b
renare,Despacho tecnico-economico de energia y vapor en la Refineria de Barrancabermeja-GRB,"PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 295, 'contribucion_propia_1': ",68081,2013.0,REVISAR,sin coincidencia
renare,Generacion de electricidad a partir de biomasa forestal para la Zona No Interconectada de Puerto Carreno - Vichada,PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [],99001,,REVISAR,sin coincidencia
renare,Mas Bosques para Medellin,"PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': ",05001,2010.0,REVISAR,sin coincidencia
renare,Proyecto Carbono Sombrilla Abejorral,"PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': ",05002,2009.0,REVISAR,sin coincidencia
renare,"Proyecto Forestal Para La Cuenca del Rio Chinchina, una alternativa ambiental para la ciudad y La Region¿","PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': ",17174,2002.0,REVISAR,sin coincidencia
renare,"Proyecto de mitigacion en el sector del USCUSS por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia","PDBC - Proyectos de Desarrollo Bajo en Carbono | PDBC - Proyectos de Desarrollo Bajo en Carbono | [{'acciones_redd_mas_1': None, 'tasa_cambio_1': '', 'tipo_actividad_1': 500, 'contribucion_propia_1': ",68081,2013.0,REVISAR,sin coincidencia
verra,AXIA Energia Cogeneration Project in Familia,Manufacturing industries | ,05001,2016.0,REVISAR,sin coincidencia
verra,AXIA Energia Cogeneration Project in Unibol,Manufacturing industries | ,08758,2015.0,REVISAR,sin coincidencia
verra,EPM Grouped Natural Gas Project,"Energy industries (renewable/non-renewable sources), Manufacturing industries | ",05615,2022.0,REVISAR,sin coincidencia
